,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,7.0,1.0,2.0,5.0,4.0,6.0,8.0,3.0,13.0,9.0,12.0,11.0,10.0,14.0,0.0
2,6.0,1.0,2.0,5.0,4.0,7.0,8.0,3.0,12.0,9.0,14.0,10.0,11.0,13.0,0.0
3,7.0,1.0,2.0,6.0,4.0,5.0,11.0,3.0,13.0,14.0,9.0,10.0,8.0,12.0,0.0
4,7.0,1.0,2.0,5.0,4.0,6.0,8.0,3.0,9.0,11.0,14.0,12.0,13.0,10.0,0.0
5,7.0,1.0,2.0,6.0,4.0,5.0,8.0,3.0,9.0,10.0,13.0,14.0,11.0,12.0,0.0
6,6.0,1.0,2.0,5.0,4.0,7.0,8.0,3.0,12.0,9.0,14.0,13.0,10.0,11.0,0.0
7,7.0,1.0,2.0,6.0,4.0,5.0,10.0,3.0,11.0,9.0,14.0,12.0,13.0,8.0,0.0
8,6.0,1.0,2.0,7.0,4.0,5.0,11.0,3.0,10.0,8.0,9.0,14.0,13.0,12.0,0.0
9,7.0,1.0,2.0,6.0,4.0,5.0,9.0,3.0,10.0,12.0,13.0,11.0,14.0,8.0,0.0
10,7.0,1.0,2.0,5.0,4.0,6.0,8.0,3.0,9.0,13.0,14.0,12.0,11.0,10.0,0.0
11,5.0,2.0,1.0,3.0,8.0,6.0,7.0,4.0,11.0,13.0,9.0,12.0,10.0,14.0,1.0
12,5.0,2.0,1.0,4.0,8.0,7.0,6.0,3.0,12.0,10.0,9.0,14.0,11.0,13.0,1.0
13,5.0,2.0,1.0,3.0,8.0,6.0,7.0,4.0,11.0,9.0,14.0,10.0,13.0,12.0,1.0
14,5.0,2.0,1.0,4.0,8.0,6.0,7.0,3.0,10.0,13.0,12.0,11.0,14.0,9.0,1.0
15,5.0,2.0,1.0,4.0,8.0,6.0,7.0,3.0,10.0,12.0,11.0,13.0,14.0,9.0,1.0
16,5.0,2.0,1.0,4.0,8.0,7.0,6.0,3.0,13.0,10.0,12.0,14.0,9.0,11.0,1.0
17,5.0,2.0,1.0,3.0,10.0,6.0,7.0,4.0,9.0,8.0,14.0,11.0,13.0,12.0,1.0
18,5.0,2.0,1.0,4.0,8.0,6.0,7.0,3.0,11.0,12.0,9.0,13.0,14.0,10.0,1.0
19,4.0,2.0,1.0,3.0,8.0,6.0,7.0,5.0,14.0,9.0,13.0,11.0,12.0,10.0,1.0
20,3.0,2.0,1.0,5.0,8.0,7.0,6.0,4.0,12.0,11.0,13.0,9.0,14.0,10.0,1.0
21,6.0,3.0,1.0,2.0,5.0,9.0,7.0,4.0,10.0,8.0,14.0,11.0,12.0,13.0,2.0
22,7.0,4.0,1.0,2.0,5.0,6.0,8.0,3.0,10.0,11.0,14.0,9.0,13.0,12.0,2.0
23,6.0,4.0,1.0,2.0,5.0,10.0,7.0,3.0,11.0,13.0,12.0,8.0,9.0,14.0,2.0
24,6.0,4.0,1.0,2.0,5.0,11.0,7.0,3.0,12.0,14.0,13.0,8.0,10.0,9.0,2.0
25,6.0,3.0,1.0,2.0,5.0,8.0,7.0,4.0,10.0,14.0,12.0,9.0,13.0,11.0,2.0
26,6.0,3.0,1.0,2.0,5.0,9.0,7.0,4.0,14.0,11.0,8.0,13.0,12.0,10.0,2.0
27,6.0,3.0,1.0,2.0,5.0,8.0,7.0,4.0,12.0,10.0,9.0,11.0,14.0,13.0,2.0
28,6.0,4.0,1.0,2.0,5.0,7.0,8.0,3.0,14.0,13.0,11.0,9.0,10.0,12.0,2.0
29,6.0,4.0,1.0,2.0,5.0,7.0,8.0,3.0,9.0,11.0,12.0,10.0,13.0,14.0,2.0
30,6.0,4.0,1.0,2.0,5.0,7.0,8.0,3.0,9.0,12.0,14.0,11.0,13.0,10.0,2.0
31,8.0,4.0,6.0,3.0,5.0,7.0,1.0,2.0,13.0,9.0,14.0,12.0,10.0,11.0,3.0
32,8.0,4.0,5.0,3.0,6.0,7.0,1.0,2.0,14.0,12.0,11.0,9.0,10.0,13.0,3.0
33,9.0,4.0,5.0,3.0,6.0,7.0,1.0,2.0,12.0,8.0,10.0,13.0,14.0,11.0,3.0
34,12.0,3.0,6.0,4.0,5.0,7.0,1.0,2.0,13.0,8.0,14.0,9.0,10.0,11.0,3.0
35,14.0,3.0,5.0,4.0,7.0,6.0,1.0,2.0,9.0,10.0,8.0,12.0,11.0,13.0,3.0
36,12.0,4.0,6.0,3.0,5.0,7.0,1.0,2.0,9.0,14.0,13.0,8.0,10.0,11.0,3.0
37,11.0,4.0,5.0,3.0,6.0,7.0,1.0,2.0,13.0,12.0,14.0,8.0,9.0,10.0,3.0
38,13.0,3.0,6.0,4.0,5.0,7.0,1.0,2.0,10.0,8.0,14.0,12.0,9.0,11.0,3.0
39,13.0,4.0,6.0,3.0,5.0,9.0,1.0,2.0,14.0,8.0,7.0,12.0,11.0,10.0,3.0
40,13.0,3.0,5.0,4.0,6.0,7.0,1.0,2.0,12.0,14.0,11.0,10.0,9.0,8.0,3.0
41,8.0,2.0,1.0,5.0,7.0,4.0,6.0,3.0,13.0,10.0,14.0,12.0,11.0,9.0,4.0
42,8.0,2.0,1.0,5.0,7.0,3.0,6.0,4.0,10.0,9.0,11.0,12.0,13.0,14.0,4.0
43,10.0,2.0,1.0,5.0,7.0,3.0,6.0,4.0,8.0,9.0,12.0,14.0,13.0,11.0,4.0
44,9.0,2.0,1.0,6.0,7.0,3.0,5.0,4.0,12.0,13.0,10.0,14.0,11.0,8.0,4.0
45,10.0,2.0,1.0,5.0,7.0,3.0,6.0,4.0,12.0,11.0,14.0,13.0,9.0,8.0,4.0
46,8.0,2.0,1.0,5.0,7.0,4.0,6.0,3.0,11.0,10.0,13.0,12.0,14.0,9.0,4.0
47,10.0,2.0,1.0,5.0,7.0,3.0,6.0,4.0,14.0,12.0,13.0,11.0,9.0,8.0,4.0
48,9.0,2.0,1.0,5.0,7.0,3.0,6.0,4.0,12.0,11.0,10.0,14.0,8.0,13.0,4.0
49,8.0,2.0,1.0,5.0,7.0,4.0,6.0,3.0,10.0,11.0,9.0,14.0,12.0,13.0,4.0
50,8.0,2.0,1.0,5.0,7.0,3.0,6.0,4.0,12.0,14.0,9.0,10.0,13.0,11.0,4.0
51,8.0,3.0,2.0,7.0,6.0,5.0,1.0,4.0,9.0,13.0,12.0,14.0,10.0,11.0,5.0
52,7.0,3.0,2.0,5.0,6.0,8.0,1.0,4.0,14.0,13.0,9.0,10.0,12.0,11.0,5.0
53,8.0,3.0,2.0,5.0,7.0,6.0,1.0,4.0,12.0,14.0,10.0,11.0,9.0,13.0,5.0
54,8.0,3.0,2.0,5.0,6.0,7.0,1.0,4.0,13.0,10.0,9.0,12.0,11.0,14.0,5.0
55,7.0,3.0,2.0,5.0,6.0,8.0,1.0,4.0,11.0,12.0,10.0,14.0,9.0,13.0,5.0
56,8.0,3.0,2.0,5.0,7.0,6.0,1.0,4.0,13.0,10.0,9.0,12.0,11.0,14.0,5.0
