,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,10.0,1.0,13.0,3.0,8.0,6.0,2.0,5.0,4.0,14.0,7.0,9.0,11.0,12.0,0.0
2,13.0,1.0,7.0,2.0,8.0,3.0,5.0,6.0,4.0,10.0,9.0,14.0,11.0,12.0,0.0
3,12.0,1.0,11.0,3.0,13.0,5.0,2.0,4.0,6.0,7.0,9.0,8.0,14.0,10.0,0.0
4,13.0,1.0,12.0,2.0,10.0,4.0,3.0,7.0,5.0,11.0,14.0,9.0,8.0,6.0,0.0
5,13.0,1.0,9.0,2.0,8.0,5.0,3.0,6.0,4.0,12.0,11.0,7.0,14.0,10.0,0.0
6,11.0,1.0,14.0,2.0,8.0,5.0,3.0,4.0,6.0,10.0,13.0,9.0,7.0,12.0,0.0
7,10.0,1.0,14.0,4.0,7.0,5.0,2.0,3.0,6.0,11.0,9.0,13.0,8.0,12.0,0.0
8,6.0,1.0,14.0,2.0,8.0,5.0,3.0,4.0,7.0,10.0,13.0,12.0,9.0,11.0,0.0
9,13.0,1.0,7.0,2.0,11.0,6.0,4.0,3.0,5.0,9.0,8.0,10.0,12.0,14.0,0.0
10,13.0,1.0,14.0,2.0,4.0,6.0,3.0,5.0,7.0,9.0,11.0,8.0,10.0,12.0,0.0
11,14.0,1.0,2.0,5.0,9.0,4.0,3.0,7.0,6.0,11.0,8.0,10.0,12.0,13.0,1.0
12,11.0,1.0,2.0,7.0,9.0,4.0,3.0,6.0,5.0,13.0,10.0,12.0,8.0,14.0,1.0
13,8.0,1.0,3.0,7.0,11.0,4.0,2.0,5.0,9.0,13.0,6.0,10.0,12.0,14.0,1.0
14,13.0,1.0,3.0,8.0,9.0,4.0,2.0,6.0,5.0,10.0,7.0,14.0,11.0,12.0,1.0
15,14.0,1.0,2.0,6.0,12.0,7.0,3.0,4.0,5.0,11.0,10.0,13.0,8.0,9.0,1.0
16,9.0,1.0,3.0,6.0,8.0,4.0,2.0,7.0,5.0,14.0,13.0,11.0,12.0,10.0,1.0
17,13.0,1.0,2.0,8.0,6.0,5.0,3.0,4.0,7.0,14.0,10.0,11.0,12.0,9.0,1.0
18,14.0,1.0,3.0,9.0,8.0,4.0,2.0,5.0,6.0,12.0,13.0,10.0,11.0,7.0,1.0
19,10.0,1.0,3.0,6.0,12.0,4.0,2.0,5.0,8.0,13.0,7.0,11.0,9.0,14.0,1.0
